,Sentence #,Word,Tag,POS
45,4,unos,O,PRON
46,4,23.000,B-MISC,NUM
47,4,empleos,O,NOUN
48,4,en,O,ADP
49,4,diversos,O,DET
50,4,sectores,O,NOUN
51,4,.,O,PUNCT
0,5,Pujol,B-PER,PROPN
1,5,urgió,O,VERB
2,5,la,O,DET
3,5,necesidad,O,NOUN
4,5,de,O,ADP
5,5,esta,O,DET
6,5,medida,O,NOUN
7,5,legal,O,ADJ
8,5,durante,O,ADP
9,5,una,O,DET
10,5,cena,O,NOUN
11,5,organizada,O,ADJ
12,5,anoche,O,ADV
13,5,por,O,ADP
14,5,la,O,DET
15,5,patronal,O,NOUN
16,5,de,O,ADP
17,5,la,O,DET
18,5,pequeña,O,ADJ
19,5,y,O,CCONJ
20,5,mediana,O,ADJ
21,5,empresa,O,NOUN
22,5,",",O,PUNCT
23,5,Pimec-Sefes,B-ORG,PROPN
24,5,",",O,PUNCT
25,5,en,O,ADP
26,5,la,O,DET
27,5,que,O,PRON
28,5,también,O,ADV
29,5,advirtió,O,VERB
30,5,a,O,ADP
31,5,los,O,DET
32,5,empresarios,O,NOUN
33,5,",",O,PUNCT
34,5,sindicatos,O,NOUN
35,5,y,O,CCONJ
36,5,administraciones,O,NOUN
37,5,a,O,ADP
38,5,que,O,SCONJ
39,5,cumplan,O,VERB
40,5,con,O,ADP
41,5,la,O,DET
42,5,normativa,O,NOUN
43,5,laboral,O,ADJ
44,5,en,O,ADP
45,5,materia,O,NOUN
46,5,de,O,ADP
47,5,prevención,O,NOUN
48,5,de,O,ADP
49,5,la,O,DET
50,5,siniestralidad,O,NOUN
51,5,.,O,PUNCT
0,6,Según,O,ADP
1,6,Pujol,B-PER,PROPN
2,6,",",O,PUNCT
3,6,"""",O,PUNCT
4,6,no,O,ADV
5,6,puede,O,AUX
6,6,ser,O,AUX
7,6,que,O,SCONJ
8,6,se,O,PRON
9,6,tarde,O,VERB
10,6,ocho,O,NUM
11,6,meses,O,NOUN
12,6,para,O,ADP
13,6,dar,O,VERB
14,6,un,O,DET
15,6,permiso,O,NOUN
16,6,de,O,ADP
17,6,residencia,O,NOUN
18,6,de,O,ADP
19,6,trabajo,O,NOUN
20,6,a,O,ADP
21,6,un,O,DET
22,6,ciudadano,O,NOUN
23,6,polaco,O,ADJ
24,6,"""",O,PUNCT
25,6,",",O,PUNCT
26,6,en,O,ADP
27,6,un,O,DET
28,6,momento,O,NOUN
29,6,de,O,ADP
30,6,falta,O,NOUN
31,6,de,O,ADP
32,6,mano,O,NOUN
33,6,de,O,ADP
34,6,obra,O,NOUN
35,6,que,O,PRON
36,6,actúa,O,VERB
37,6,",",O,PUNCT
38,6,en,O,ADP
39,6,su,O,DET
40,6,opinión,O,NOUN
41,6,",",O,PUNCT
42,6,como,O,SCONJ
43,6,freno,O,NOUN
44,6,al,O,ADP
45,6,crecimiento,O,NOUN
46,6,económico,O,ADJ
47,6,.,O,PUNCT
0,7,Esta,O,DET
1,7,opinión,O,NOUN
2,7,fue,O,AUX
3,7,corroborada,O,VERB
4,7,por,O,ADP
5,7,el,O,DET
6,7,presidente,O,NOUN
7,7,de,O,ADP
8,7,Pimec-Sefes,B-ORG,PROPN
9,7,",",O,PUNCT
10,7,Josep,B-PER,PROPN
11,7,González,I-PER,PROPN
12,7,",",O,PUNCT
13,7,quien,O,PRON
14,7,subrayó,O,VERB
15,7,que,O,SCONJ
16,7,esta,O,DET
17,7,falta,O,NOUN
18,7,de,O,ADP
19,7,mano,O,NOUN
20,7,de,O,ADP
21,7,obra,O,NOUN
22,7,",",O,PUNCT
23,7,tanto,O,ADV
24,7,cualificada,O,ADJ
25,7,como,O,SCONJ
26,7,no,O,ADV
27,7,",",O,PUNCT
28,7,comenzó,O,VERB
29,7,en,O,ADP
30,7,las,O,DET
31,7,comarcas,O,NOUN
32,7,de,O,ADP
33,7,Lérida,B-LOC,PROPN
34,7,pero,O,CCONJ
35,7,ya,O,ADV
36,7,ha,O,AUX
37,7,llegado,O,VERB
38,7,a,O,ADP
39,7,todas,O,DET
40,7,las,O,DET
41,7,provincias,O,NOUN
42,7,catalanas,O,ADJ
43,7,.,O,PUNCT
0,8,Por,O,ADP
1,8,ello,O,PRON
2,8,",",O,PUNCT
3,8,González,B-PER,PROPN
4,8,pidió,O,VERB
5,8,una,O,DET
6,8,reforma,O,NOUN
7,8,"""",O,PUNCT
8,8,urgente,O,ADJ
9,8,"""",O,PUNCT
10,8,del,O,ADP
11,8,sistema,O,NOUN
12,8,de,O,ADP
13,8,contratación,O,NOUN
14,8,de,O,ADP
15,8,extranjeros,O,NOUN
16,8,que,O,PRON
17,8,permita,O,VERB
18,8,un,O,DET
19,8,sistema,O,NOUN
20,8,"""",O,PUNCT
21,8,ágil,O,ADJ
22,8,y,O,CCONJ
23,8,rápido,O,ADJ
24,8,"""",O,PUNCT
25,8,para,O,ADP
26,8,insertar,O,VERB
27,8,a,O,ADP
28,8,los,O,DET
29,8,inmigrantes,O,NOUN
30,8,en,O,ADP
31,8,el,O,DET
32,8,mercado,O,NOUN
33,8,laboral,O,ADJ
34,8,.,O,PUNCT
0,9,Ante,O,ADP
1,9,unas,O,DET
2,9,mil,O,NUM
3,9,personas,O,NOUN
4,9,",",O,PUNCT
5,9,entre,O,ADP
6,9,ellas,O,PRON
7,9,la,O,DET
8,9,ministra,O,NOUN
9,9,de,O,ADP
10,9,Ciencia,B-ORG,PROPN
11,9,y,I-ORG,CCONJ
12,9,Tecnología,I-ORG,PROPN
13,9,",",O,PUNCT
14,9,Anna,B-PER,PROPN
15,9,Birulés,I-PER,PROPN
16,9,",",O,PUNCT
17,9,el,O,DET
18,9,alcalde,O,NOUN
19,9,de,O,ADP
20,9,Barcelona,B-LOC,PROPN
21,9,",",O,PUNCT
22,9,Joan,B-PER,PROPN
23,9,Clos,I-PER,PROPN
24,9,",",O,PUNCT
25,9,la,O,DET
26,9,Delegada,B-PER,PROPN
27,9,del,O,ADP
28,9,Gobierno,B-ORG,PROPN
29,9,",",O,PUNCT
30,9,Julia,B-PER,PROPN
31,9,García,I-PER,PROPN
32,9,Valdecasas,I-PER,PROPN
33,9,",",O,PUNCT
34,9,y,O,CCONJ
35,9,una,O,DET
36,9,nutrida,O,ADJ
37,9,representación,O,NOUN
38,9,del,O,ADP
39,9,gobierno,O,NOUN
40,9,catalán,O,ADJ
41,9,",",O,PUNCT
42,9,Pujol,B-PER,PROPN
43,9,dio,O,VERB
44,9,un,O,DET
45,9,toque,O,NOUN
46,9,de,O,ADP
47,9,alerta,O,NOUN
48,9,sobre,O,ADP
49,9,el,O,DET
50,9,aumento,O,NOUN
51,9,de,O,ADP
52,9,los,O,DET
53,9,accidentes,O,NOUN
54,9,laborales,O,ADJ
55,9,.,O,PUNCT
0,10,En,O,ADP
1,10,este,O,DET
2,10,sentido,O,NOUN
3,10,",",O,PUNCT
4,10,instó,O,VERB
5,10,a,O,ADP
6,10,empresarios,O,NOUN
7,10,",",O,PUNCT
8,10,sindicatos,O,NOUN
9,10,y,O,CCONJ
10,10,administraciones,O,NOUN
11,10,a,O,ADP
12,10,"""",O,PUNCT
13,10,cumplir,O,VERB
14,10,la,O,DET
15,10,ley,O,NOUN
16,10,"""",O,PUNCT
17,10,de,O,ADP
18,10,prevención,O,NOUN
19,10,de,O,ADP
20,10,riesgos,O,NOUN
21,10,en,O,ADP
22,10,el,O,DET
23,10,trabajo,O,NOUN
24,10,ya,O,ADV
25,10,que,O,SCONJ
26,10,",",O,PUNCT
27,10,a,O,ADP
28,10,su,O,DET
29,10,juicio,O,NOUN
30,10,",",O,PUNCT
31,10,"""",O,PUNCT
32,10,no,O,ADV
33,10,vamos,O,AUX
34,10,bien,O,ADV
35,10,en,O,ADP
36,10,lo,O,DET
37,10,que,O,PRON
38,10,respecta,O,VERB
39,10,a,O,ADP
40,10,la,O,DET
41,10,siniestralidad,O,NOUN
42,10,"""",O,PUNCT
43,10,.,O,PUNCT
0,11,Por,O,ADP
1,11,su,O,DET
2,11,parte,O,NOUN
3,11,",",O,PUNCT
4,11,la,O,DET
5,11,ministra,O,NOUN
6,11,Anna,B-PER,PROPN
7,11,Birulés,I-PER,PROPN
8,11,animó,O,VERB
9,11,a,O,ADP
10,11,las,O,DET
11,11,pymes,O,NOUN
12,11,a,O,ADP
13,11,invertir,O,VERB
14,11,en,O,ADP
15,11,Investigación,B-ORG,PROPN
16,11,y,I-ORG,CCONJ
17,11,Desarrollo,I-ORG,PROPN
18,11,y,O,CCONJ
19,11,mostró,O,VERB
20,11,a,O,ADP
21,11,los,O,DET
22,11,empresarios,O,NOUN
23,11,presentes,O,ADJ
24,11,la,O,DET
25,11,disposición,O,NOUN
26,11,del,O,ADP
27,11,Gobierno,B-ORG,PROPN
28,11,a,O,ADP
29,11,facilitar,O,VERB
30,11,este,O,DET
31,11,camino,O,NOUN
32,11,.,O,PUNCT
0,12,Birulés,B-PER,PROPN
1,12,afirmó,O,VERB
2,12,que,O,SCONJ
3,12,las,O,DET
4,12,pequeñas,O,ADJ
5,12,y,O,CCONJ
6,12,medianas,O,ADJ
7,12,empresas,O,NOUN
8,12,son,O,AUX
9,12,"""",O,PUNCT
10,12,el,O,DET
11,12,futuro,O,NOUN
12,12,"""",O,PUNCT
13,12,del,O,ADP
14,12,país,O,NOUN
15,12,por,O,ADP
16,12,su,O,DET
17,12,capacidad,O,NOUN
18,12,para,O,ADP
19,12,innovar,O,VERB
20,12,y,O,CCONJ
21,12,entroncar,O,VERB
22,12,con,O,ADP
23,12,los,O,DET
24,12,cambios,O,NOUN
25,12,que,O,PRON
26,12,está,O,AUX
27,12,comportando,O,VERB
28,12,la,O,DET
29,12,nueva,O,ADJ
30,12,economía,O,NOUN
31,12,.,O,PUNCT
0,13,Durante,O,ADP
1,13,la,O,DET
2,13,cena,O,NOUN
3,13,",",O,PUNCT
4,13,la,O,DET
5,13,patronal,O,NOUN
6,13,Pimec-Sefes,B-ORG,PROPN
7,13,",",O,PUNCT
8,13,que,O,PRON
9,13,representa,O,VERB
10,13,a,O,ADP
11,13,más,O,ADV
12,13,de,O,ADP
13,13,50.000,B-MISC,NUM
14,13,empresas,O,NOUN
15,13,",",O,PUNCT
16,13,entregó,O,VERB
17,13,sus,O,DET
18,13,premios,O,NOUN
19,13,anuales,O,ADJ
20,13,a,O,ADP
21,13,las,O,DET
22,13,pymes,O,NOUN
23,13,que,O,PRON
24,13,han,O,AUX
25,13,desarrollado,O,VERB
26,13,proyectos,O,NOUN
27,13,más,O,ADV
28,13,destacados,O,ADJ
29,13,",",O,PUNCT
30,13,así,O,ADV
31,13,como,O,SCONJ
32,13,también,O,ADV
33,13,distinguió,O,VERB
34,13,",",O,PUNCT
35,13,en,O,ADP
36,13,el,O,DET
37,13,apartado,O,NOUN
38,13,periodístico,O,ADJ
39,13,",",O,PUNCT
40,13,al,O,ADP
41,13,suplemento,O,NOUN
42,13,de,O,ADP
43,13,Economía,B-MISC,PROPN
44,13,del,O,ADP
45,13,diario,O,NOUN
46,13,La,B-MISC,DET
47,13,Vanguardia,I-MISC,PROPN
48,13,.,O,PUNCT
0,14,Sin,O,ADP
1,14,embargo,O,NOUN
2,14,",",O,PUNCT
3,14,los,O,DET
4,14,abogados,O,NOUN
5,14,de,O,ADP
6,14,la,O,DET
7,14,empresa,O,NOUN
8,14,indicaron,O,VERB
9,14,una,O,DET
10,14,vez,O,NOUN
11,14,más,O,ADV
12,14,que,O,SCONJ
13,14,proyectan,O,VERB
14,14,insistir,O,VERB
15,14,en,O,ADP
16,14,las,O,DET
17,14,apelaciones,O,NOUN
18,14,para,O,ADP
19,14,impedir,O,AUX
20,14,que,O,SCONJ
21,14,esos,O,DET
22,14,remedios,O,NOUN
23,14,"""",O,PUNCT
24,14,extremos,O,NOUN
25,14,y,O,CCONJ
26,14,sin,O,ADP
27,14,justificación,O,NOUN
28,14,"""",O,PUNCT
29,14,se,O,PRON
30,14,lleven,O,VERB
31,14,a,O,ADP
32,14,efecto,O,NOUN
33,14,.,O,PUNCT
0,15,El,O,DET
1,15,Departamento,B-ORG,PROPN
2,15,de,I-ORG,ADP
3,15,Justicia,I-ORG,PROPN
4,15,dijo,O,VERB
5,15,respecto,O,NOUN
6,15,a,O,ADP
7,15,la,O,DET
8,15,última,O,ADJ
9,15,comparecencia,O,NOUN
10,15,de,O,ADP
11,15,la,O,DET
12,15,compañía,O,NOUN
13,15,que,O,PRON
14,15,ésta,O,PRON
15,15,no,O,ADV
16,15,tiene,O,VERB
17,15,en,O,ADP
18,15,cuenta,O,NOUN
19,15,el,O,DET
20,15,hecho,O,NOUN
21,15,de,O,ADP
22,15,que,O,SCONJ
23,15,se,O,PRON
24,15,ha,O,AUX
25,15,determinado,O,VERB
26,15,"""",O,PUNCT
27,15,que,O,SCONJ
28,15,Microsoft,B-ORG,PROPN
29,15,ha,O,AUX
30,15,cometido,O,VERB
31,15,repetidamente,O,ADV
32,15,graves,O,ADJ
33,15,violaciones,O,NOUN
34,15,legales,O,ADJ
35,15,y,O,CCONJ
36,15,que,O,PRON
37,15,es,O,AUX
38,15,preciso,O,ADJ
39,15,aplicar,O,VERB
40,15,remedios,O,NOUN
41,15,serios,O,ADJ
42,15,para,O,ADP
43,15,restablecer,O,VERB
44,15,la,O,DET
45,15,competencia,O,NOUN
46,15,e,O,CCONJ
47,15,impedir,O,AUX
48,15,violaciones,O,NOUN
49,15,similares,O,ADJ
50,15,en,O,ADP
51,15,el,O,DET
52,15,futuro,O,NOUN
53,15,"""",O,PUNCT
54,15,.,O,PUNCT
0,16,La,O,DET
1,16,semana,O,NOUN
2,16,pasada,O,ADJ
3,16,el,O,DET
4,16,Departamento,B-ORG,PROPN
5,16,de,I-ORG,ADP
6,16,Justicia,I-ORG,PROPN
7,16,y,O,CCONJ
8,16,los,O,DET
9,16,gobiernos,O,NOUN
10,16,de,O,ADP
11,16,17,B-MISC,NUM
12,16,de,O,ADP
13,16,los,O,DET
14,16,19,B-MISC,NUM
15,16,estados,O,NOUN
16,16,que,O,PRON
17,16,demandaron,O,VERB
18,16,a,O,ADP
19,16,Microsoft,B-ORG,PROPN
20,16,en,O,ADP
21,16,1998,B-MISC,NOUN
22,16,presentaron,O,VERB
23,16,al,O,ADP
24,16,juez,O,NOUN
25,16,una,O,DET
26,16,versión,O,NOUN
27,16,ajustada,O,ADJ
28,16,de,O,ADP
29,16,sus,O,DET
30,16,propuestas,O,NOUN
31,16,de,O,ADP
32,16,solución,O,NOUN
33,16,judicial,O,ADJ
34,16,",",O,PUNCT
35,16,entre,O,ADP
36,16,las,O,DET
37,16,que,O,PRON
38,16,figura,O,VERB
39,16,la,O,DET
40,16,división,O,NOUN
41,16,de,O,ADP
42,16,la,O,DET
43,16,firma,O,NOUN
44,16,en,O,ADP
45,16,dos,O,NUM
46,16,compañías,O,NOUN
47,16,.,O,PUNCT
0,17,Una,O,PRON
1,17,de,O,ADP
2,17,las,O,DET
3,17,empresas,O,NOUN
4,17,tomaría,O,VERB
5,17,posesión,O,NOUN
6,17,de,O,ADP
7,17,los,O,DET
8,17,sistemas,O,NOUN
9,17,operativos,O,ADJ
10,17,Windows,B-MISC,PROPN
11,17,",",O,PUNCT
12,17,creado,O,ADJ
13,17,por,O,ADP
14,17,esta,O,DET
15,17,firma,O,NOUN
16,17,y,O,CCONJ
17,17,que,O,PRON
18,17,usan,O,VERB
19,17,el,O,DET
20,17,95,B-MISC,NUM
21,17,por,I-MISC,ADP
22,17,ciento,I-MISC,NUM
23,17,de,O,ADP
24,17,los,O,DET
25,17,ordenadores,O,NOUN
26,17,de,O,ADP
27,17,todo,O,DET
28,17,el,O,DET
29,17,mundo,O,NOUN
30,17,",",O,PUNCT
31,17,y,O,CCONJ
32,17,la,O,DET
33,17,otra,O,PRON
34,17,pasaría,O,VERB
35,17,a,O,ADP
36,17,controlar,O,VERB
37,17,todo,O,DET
38,17,el,O,DET
39,17,software,O,NOUN
40,17,de,O,ADP
41,17,Microsoft,B-ORG,PROPN
42,17,",",O,PUNCT
43,17,incluido,O,VERB
44,17,el,O,DET
45,17,popular,O,ADJ
46,17,"""",O,PUNCT
47,17,Office,B-MISC,PROPN
48,17,suite,I-MISC,PROPN
49,17,"""",O,PUNCT
50,17,y,O,CCONJ
51,17,los,O,DET
52,17,demás,O,PRON
53,17,activos,O,NOUN
54,17,de,O,ADP
55,17,la,O,DET
56,17,compañía,O,NOUN
57,17,.,O,PUNCT
0,18,Pero,O,CCONJ
1,18,el,O,DET
2,18,juez,O,NOUN
3,18,",",O,PUNCT
4,18,que,O,PRON
5,18,el,O,DET
6,18,3,B-MISC,NUM
7,18,de,I-MISC,ADP
8,18,abril,I-MISC,NOUN
9,18,dictaminó,O,VERB
10,18,que,O,SCONJ
11,18,Microsoft,B-ORG,PROPN
12,18,incurrió,O,VERB
13,18,en,O,ADP
14,18,prácticas,O,NOUN
15,18,de,O,ADP
16,18,monopolio,O,NOUN
17,18,",",O,PUNCT
18,18,opinó,O,VERB
19,18,que,O,SCONJ
20,18,las,O,DET
21,18,medidas,O,NOUN
22,18,exigidas,O,ADJ
23,18,por,O,ADP
24,18,el,O,DET
25,18,Gobierno,B-ORG,PROPN
26,18,no,O,ADV
27,18,son,O,AUX
28,18,bastante,O,ADV
29,18,severas,O,ADJ
30,18,y,O,CCONJ
31,18,se,O,PRON
32,18,manifestó,O,VERB
33,18,en,O,ADP
34,18,favor,O,NOUN
35,18,de,O,ADP
36,18,otro,O,DET
37,18,planteamiento,O,NOUN
38,18,que,O,PRON
39,18,dividiría,O,VERB
40,18,a,O,ADP
41,18,la,O,DET
42,18,empresa,O,NOUN
43,18,en,O,ADP
44,18,tres,O,NUM
45,18,compañías,O,NOUN
46,18,.,O,PUNCT
0,19,Los,O,DET
1,19,abogados,O,NOUN
2,19,de,O,ADP
3,19,Microsoft,B-ORG,PROPN
4,19,aseguran,O,VERB
5,19,que,O,SCONJ
6,19,la,O,DET
7,19,división,O,NOUN
8,19,de,O,ADP
9,19,la,O,DET
10,19,firma,O,NOUN
11,19,disminuiría,O,VERB
12,19,gravemente,O,ADV
13,19,su,O,DET
14,19,capacidad,O,NOUN
15,19,para,O,ADP
16,19,competir,O,VERB
17,19,en,O,ADP
18,19,el,O,DET
19,19,mercado,O,NOUN
20,19,de,O,ADP
21,19,los,O,DET
22,19,programas,O,NOUN
23,19,informáticos,O,ADJ
24,19,.,O,PUNCT
0,20,El,O,DET
1,20,letrado,O,NOUN
2,20,John,B-PER,PROPN
3,20,Warden,I-PER,PROPN
4,20,considera,O,VERB
5,20,que,O,SCONJ
6,20,la,O,DET
7,20,propuesta,O,NOUN
8,20,del,O,ADP
9,20,Gobierno,B-ORG,PROPN
10,20,convertiría,O,VERB
11,20,a,O,ADP
12,20,Microsoft,B-ORG,PROPN
13,20,en,O,ADP
14,20,"""",O,PUNCT
15,20,la,O,DET
16,20,nica,O,ADJ
17,20,compañía,O,NOUN
18,20,del,O,ADP
19,20,mundo,O,NOUN
20,20,que,O,PRON
21,20,no,O,ADV
22,20,ganará,O,VERB
23,20,",",O,PUNCT
24,20,no,O,ADV
25,20,podrá,O,AUX
26,20,ganar,O,VERB
27,20,",",O,PUNCT
28,20,la,O,DET
29,20,próxima,O,ADJ
30,20,ronda,O,NOUN
31,20,de,O,ADP
32,20,competencia,O,NOUN
33,20,"""",O,PUNCT
34,20,en,O,ADP
35,20,la,O,DET
36,20,industria,O,NOUN
37,20,de,O,ADP
38,20,los,O,DET
39,20,programas,O,NOUN
40,20,informáticos,O,ADJ
41,20,.,O,PUNCT
0,21,Asimismo,O,ADV
1,21,",",O,PUNCT
2,21,Microsoft,B-ORG,PROPN
3,21,considera,O,VERB
4,21,que,O,SCONJ
5,21,la,O,DET
6,21,separación,O,NOUN
7,21,de,O,ADP
8,21,la,O,DET
9,21,firma,O,NOUN
10,21,es,O,AUX
11,21,un,O,DET
12,21,castigo,O,NOUN
13,21,demasiado,O,ADV
14,21,duro,O,ADJ
15,21,para,O,ADP
16,21,las,O,DET
17,21,infracciones,O,NOUN
18,21,de,O,ADP
19,21,las,O,DET
20,21,cuales,O,PRON
21,21,se,O,PRON
22,21,le,O,PRON
23,21,acusa,O,VERB
24,21,.,O,PUNCT
0,22,No,O,PART
1,22,obstante,O,NOUN
2,22,",",O,PUNCT
3,22,ya,O,ADV
4,22,se,O,PRON
5,22,ha,O,AUX
6,22,resignado,O,VERB
7,22,a,O,ADP
8,22,alterar,O,VERB
9,22,sus,O,DET
10,22,prácticas,O,NOUN
11,22,comerciales,O,ADJ
12,22,y,O,CCONJ
13,22,ha,O,AUX
14,22,propuesto,O,VERB
15,22,dar,O,VERB
16,22,a,O,ADP
17,22,los,O,DET
18,22,fabricantes,O,NOUN
19,22,de,O,ADP
20,22,ordenadores,O,NOUN
21,22,mayor,O,ADJ
22,22,flexibilidad,O,NOUN
23,22,en,O,ADP
24,22,la,O,DET
25,22,elección,O,NOUN
26,22,del,O,ADP
27,22,sistema,O,NOUN
28,22,de,O,ADP
29,22,operación,O,NOUN
30,22,y,O,CCONJ
31,22,a,O,ADP
32,22,los,O,DET
33,22,consumidores,O,NOUN
34,22,más,O,ADV
35,22,opciones,O,NOUN
36,22,para,O,ADP
37,22,el,O,DET
38,22,uso,O,NOUN
39,22,de,O,ADP
40,22,programas,O,NOUN
41,22,que,O,PRON
42,22,no,O,ADV
43,22,funcionen,O,VERB
44,22,con,O,ADP
45,22,Windows,B-MISC,PROPN
46,22,.,O,PUNCT
0,23,Pero,O,CCONJ
1,23,",",O,PUNCT
2,23,por,O,ADP
3,23,otra,O,DET
4,23,parte,O,NOUN
5,23,",",O,PUNCT
6,23,ya,O,ADV
7,23,ha,O,AUX
8,23,anunciado,O,VERB
9,23,que,O,SCONJ
10,23,apelará,O,VERB
11,23,cualquier,O,DET
12,23,dictamen,O,NOUN
13,23,que,O,PRON
14,23,establezca,O,VERB
15,23,su,O,DET
16,23,visión,O,NOUN
17,23,",",O,PUNCT
18,23,lo,O,DET
19,23,cual,O,PRON
20,23,prolongaría,O,VERB
21,23,el,O,DET
22,23,proceso,O,NOUN
23,23,judicial,O,ADJ
24,23,muchos,O,DET
25,23,meses,O,NOUN
26,23,.,O,PUNCT
0,24,En,O,ADP
1,24,esa,O,DET
2,24,situación,O,NOUN
3,24,",",O,PUNCT
4,24,sus,O,DET
5,24,recursos,O,NOUN
6,24,legales,O,ADJ
7,24,podrían,O,AUX
8,24,tramitarse,O,VERB
9,24,en,O,ADP
10,24,tribunales,O,NOUN
11,24,de,O,ADP
12,24,apelación,O,NOUN
13,24,o,O,CCONJ
14,24,podrían,O,AUX
15,24,pasar,O,VERB
16,24,directamente,O,ADV
17,24,al,O,ADP
18,24,Tribunal,B-ORG,PROPN
19,24,Supremo,I-ORG,PROPN
20,24,de,I-ORG,ADP
21,24,Justicia,I-ORG,PROPN
22,24,",",O,PUNCT
23,24,una,O,DET
24,24,opción,O,NOUN
25,24,que,O,PRON
26,24,existe,O,VERB
27,24,para,O,ADP
28,24,los,O,DET
29,24,grandes,O,ADJ
30,24,casos,O,NOUN
31,24,de,O,ADP
32,24,monopolio,O,NOUN
33,24,.,O,PUNCT
0,25,El,O,DET
1,25,consejo,O,NOUN
2,25,de,O,ADP
3,25,Telefónica,B-ORG,PROPN
